"",".id","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,428,"Latvia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,243196,NA,108072,NA,NA,0
"2","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,203,"Czech Rep.",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,204271,NA,95416,NA,NA,0
"3","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,376,"Israel",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,146794,NA,73311,NA,NA,0
"4","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,372,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,112959,NA,98756,NA,NA,0
"5","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,826,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,213744,NA,60063,NA,NA,0
"6","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,682,"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,97180,NA,19423,NA,NA,0
"7","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1807595,NA,458859,NA,NA,0
"8","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,705,"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,699116,NA,174756,NA,NA,0
"9","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,43769601,NA,15668684,NA,NA,0
"10","4","HS",2018,201802,"February 2018",4,0,2,"Exports",56,"Belgium",NA,381,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1256938,NA,880687,NA,NA,0
