"",".id","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","2","HS",2018,201801,"January 2018",4,0,2,"Exports",51,"Armenia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,16095,NA,6055,NA,NA,0
"2","2","HS",2018,201801,"January 2018",4,0,2,"Exports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,16095,NA,6055,NA,NA,0
"3","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,446,"China, Macao SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18000,NA,3971,NA,NA,0
"4","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,3433130,NA,575668,NA,NA,0
"5","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,410,"Rep. of Korea",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,142000,NA,47114,NA,NA,0
"6","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,295630,NA,109052,NA,NA,0
"7","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,764,"Thailand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1977860,NA,424845,NA,NA,0
"8","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,156,"China",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,31163,NA,17394,NA,NA,0
"9","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,376039,NA,124728,NA,NA,0
"10","2","HS",2018,201801,"January 2018",4,0,2,"Exports",36,"Australia",NA,360,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1651080,NA,303506,NA,NA,0
